"","Country","Date","stringency_index","openness_risk","relative_stringency"
"1","Australia",2020-04-01,71.3,37.2593261,34.0406739
"2","Australia",2020-04-02,73.15,37.2156111,35.9343889
"3","Australia",2020-04-03,73.15,37.0344798,36.1155202
"4","Australia",2020-04-04,73.15,36.9722434,36.1777566
"5","Australia",2020-04-05,73.15,37.0176814,36.1323186
"6","Australia",2020-04-06,73.15,37.6441754,35.5058246
"7","Australia",2020-04-07,73.15,37.8220648,35.3279352
"8","Australia",2020-04-08,73.15,37.6557346,35.4942654
"9","Australia",2020-04-09,73.15,37.2839579,35.8660421
"10","Australia",2020-04-10,73.15,38.2560662,34.8939338
"11","Australia",2020-04-11,73.15,38.3054679,34.8445321
"12","Australia",2020-04-12,73.15,38.3297714,34.8202286
"13","Australia",2020-04-13,73.15,38.4263251,34.7236749
"14","Australia",2020-04-14,73.15,38.523816,34.626184
"15","Australia",2020-04-15,69.44,38.5661354,30.8738646
"16","Australia",2020-04-16,69.44,38.5688624,30.8711376
"17","Australia",2020-04-17,69.44,35.2618875,34.1781125
"18","Australia",2020-04-18,69.44,32.0259166,37.4140834
"19","Australia",2020-04-19,69.44,34.2607133,35.1792867
"20","Australia",2020-04-20,69.44,32.5246115,36.9153885
"21","Australia",2020-04-21,69.44,29.1478264,40.2921736
"22","Australia",2020-04-22,69.44,27.7580201,41.6819799
"23","Australia",2020-04-23,69.44,26.7204269,42.7195731
"24","Australia",2020-04-24,69.44,23.248283,46.191717
"25","Australia",2020-04-25,69.44,21.0183788,48.4216212
"26","Australia",2020-04-26,69.44,19.3195094,50.1204906
"27","Australia",2020-04-27,69.44,14.305621,55.134379
"28","Australia",2020-04-28,69.44,14.3441079,55.0958921
"29","Australia",2020-04-29,69.44,14.4017831,55.0382169
"30","Australia",2020-04-30,69.44,14.6626703,54.7773297
"31","Australia",2020-05-01,69.44,14.3803521,55.0596479
"32","Australia",2020-05-02,69.44,14.6737051,54.7662949
"33","Australia",2020-05-03,69.44,14.8989151,54.5410849
"34","Australia",2020-05-04,69.44,16.2342665,53.2057335
"35","Australia",2020-05-05,69.44,16.5858333,52.8541667
"36","Australia",2020-05-06,69.44,17.3457515,52.0942485
"37","Australia",2020-05-07,69.44,17.7366085,51.7033915
"38","Australia",2020-05-08,69.44,17.1289164,52.3110836
"39","Australia",2020-05-09,69.44,17.0457621,52.3942379
"40","Australia",2020-05-10,69.44,16.2639303,53.1760697
"41","Australia",2020-05-11,69.44,15.9166003,53.5233997
"42","Australia",2020-05-12,69.44,14.4218989,55.0181011
"43","Australia",2020-05-13,69.44,13.5347594,55.9052406
"44","Australia",2020-05-14,69.44,14.3675857,55.0724143
"45","Australia",2020-05-15,65.74,15.1807299,50.5592701
"46","Australia",2020-05-16,64.35,14.2053666,50.1446334
"47","Australia",2020-05-17,64.35,14.2955785,50.0544215
"48","Australia",2020-05-18,67.13,13.6531,53.4769
"49","Australia",2020-05-19,67.13,13.1433535,53.9866465
"50","Australia",2020-05-20,67.13,13.0971847,54.0328153
"51","Australia",2020-05-21,67.13,11.7884196,55.3415804
"52","Australia",2020-05-22,67.13,10.7964326,56.3335674
"53","Australia",2020-05-23,67.13,11.2324132,55.8975868
"54","Australia",2020-05-24,67.13,10.3814934,56.7485066
"55","Australia",2020-05-25,65.28,10.2860484,54.9939516
"56","Australia",2020-05-26,65.28,11.0178085,54.2621915
"57","Australia",2020-05-27,65.28,11.1305028,54.1494972
"58","Australia",2020-05-28,65.28,11.2195326,54.0604674
"59","Australia",2020-05-29,63.43,12.4288345,51.0011655
"60","Australia",2020-05-30,63.43,11.9650149,51.4649851
"61","Australia",2020-05-31,63.43,12.895391,50.534609
"62","Australia",2020-06-01,62.04,13.5975085,48.4424915
"63","Australia",2020-06-02,62.04,13.2018224,48.8381776
"64","Australia",2020-06-03,62.04,13.2793878,48.7606122
