text,pro,anti,New_Pro,New_Anti
@Macaaguilar1406 por que me desperté en madryn y no en la cordi?,NA,NA,NA,NA
“Orang yang tumbuh dengan kenangan yang menyakitkan akan menjadi lebih kuat dan bersemangat hingga mudah menyesuaikan”,NA,NA,NA,NA
"@Sandra_Savino @GruppoFICamera ma non eravamo quelli più ligi in Europa, modello per il mondo? Ammesso e non concesso che abbiano torto, una rondine non fa primavera",NA,NA,NA,NA
meu corpo pede descer um gelo com a suellen na granito 😔,NA,NA,NA,NA
y lo que pasó después de grabar pues hdjsbdjsjdjsjj nos lo imaginamos,NA,NA,NA,NA
"“Voy a salir con alguien”

Mi familia: https://t.co/L1YQPv1tgB",NA,NA,NA,NA
"Finalmente um paredão que presteeeeeee 

#bbb21",NA,NA,NA,NA
On a besoin de votes 💜Votez pour MOTS:7 album de l’année !! https://t.co/4j97oOWPQ0,NA,NA,NA,NA
Jamais vou fazer com os outros o que eu não quero que faça comigo. 😉,NA,NA,NA,NA
"@Medya_Muhtari @neslisjr Ben takip etmiyormuşum fakat, listemdeki 35 kişi bu kriptoyu takip ediyormuş bilginize.",NA,NA,NA,NA
"O Babu vai interpretar o Maguila no cinema, num filme feito pelo diretor de OS PARÇAS. Acho que não tem como uma notícia ser melhor que essa -&gt; https://t.co/V5QtKoODot",NA,NA,NA,NA
secando naturalmente,NA,NA,NA,NA
tenho nem amigo p fazer chamada https://t.co/x9zkgOZvnt,NA,NA,NA,NA
"Já estou falando com as paredes, imagina com a tv! Heheheheh 💜 https://t.co/Jaea9J4RLj",NA,NA,NA,NA
"Ajudem me a encontrar minha irmã, por favor. https://t.co/LKiDpHGORP",NA,NA,NA,NA
"@andresportillo_ @carolinaguerram Leer el libro el clan de Los 12 apostoles, los jinetes de la cocaina y Las declaraciones en vida por parte del abogado Jose Maria del Valle - Durante el mandato de Alvaro Alvaro Uribe como gobernador- paramilitarismo  https://t.co/XDJicyApIy por favor escuchar https://t.co/AHNSlN0JWO",NA,NA,NA,NA
@malviajedpepa @muerejoven62 @davusito a es verdad,NA,NA,NA,NA
"Los Jordis llevan mil días en prisión. Es un despropósito jurídico, un retroceso para los derechos civiles de todos y una enorme roca en el camino de la solución política.",NA,NA,NA,NA
@Olav_Mol Nou als ik de reacties lees bij @HaasF1Team  is het niet echt een aanwinst voor de F1.,NA,NA,NA,NA
⭕#AHORA24H | Dos funcionarios de la FACh son detenidos por lanzar piedras a Carabineros en Temuco. https://t.co/3iSfvfxaxX https://t.co/qEWh8kPuF4,NA,NA,NA,NA
"Um blogueiro da minha cidade falando que estava dançando a NOVA MÚSICA da Beyoncé ai és que era MY POWER kkkkkkk por Deus, só os fãs sabiam do lançamento do The Gift ano passado?",NA,NA,NA,NA
Incroyable travail @CircexxxLove !! 👏🏻👌🏻 Hâte de retrouver mon personnage en scène ! 🤗 https://t.co/1uq60fteRL,NA,NA,NA,NA
"Infelizmente não deu pra usar essa vinheta do @gaveta na live de hoje, mas deixo essa obra de arte pra vocês. https://t.co/Bjr2xCNuMs",NA,NA,NA,NA
eu nunca tinha visto o meme todo KKKKKKKKKKKKK https://t.co/Au52T3HpP8,NA,NA,NA,NA
@junkyupearl vrmt critiquer un kpop stan tous les jours pck il a 25ans et qu’il est p-e papa ça les dérange pas mais dire qu’un @ est moche c’est la fin du monde,NA,NA,NA,NA
Now even the WHO says that PCR tests are unreliable and give a very high rate of false positives when using a high number of thermal cycles - as is the case in the UK and many other countries. Coronavirus restrictions are unnecessary and should be ended immediately. https://t.co/aMMZaFjop4,0,1,0,1
It feels like Corbyns PM Boris'1st test &amp; failed utterly deplorable performance Romanians IS RACISM leaving all Borders open DEPLIRABLE even Corbyn would have closed Airports 100s of illegals turned cops into a Stalin like militia illegal lockdown terrible treatment of the ppl https://t.co/vqW3hOi5G2,0,1,0,1
"If the vaccine works, why will the UK experience a third wave?
If the vaccine doesn't work, why is everyone being coerced into having it? 
Am I missing something?",0,1,0,1
"The current number of Covid deaths is v low. Excess deaths is no longer a valid concept. 

But it was and for the UK it was roughly 65,000 or 1 in 1,000 during the weeks of the pandemic. 

The big error of govt data was underestimating deaths. Now a small error is the opposite https://t.co/2vclsAuLMj",0,1,0,1
"To my knowledge, @dockaurG has posted information that doesn't fit with the official Covid narrative but has never posted false information. 

However, every public health official in Canada has repeatedly spread false models of impending doom &amp; none have faced consequences.",0,1,0,1
"14 deaths for people with covid under 60 in Alberta for all of 2020.

This is not panic worthy, this is not even worthy of a mention. 

Support the old and get on with life.",0,1,0,1
"#Brexit cost: £200 BILLION.

#COVID19 cost: £280 BILLION.

#Amount the wealth that the 1,000 richest people in Britain has increased by since 2009: £480 BILLION.

Still wondering why a Government claiming to stand for freedom &amp; democracy is criminalising #protest?

#PolicingBill https://t.co/uONdIWko7p",0,1,0,1
That’s weird. These comments from an *expert* about how the UK is handling the pandemic were made in a prominent BBC interview a few hours ago and yet for some reason they not yet reported on the BBC website. Can anyone help offer an explanation? https://t.co/igxounaukc,0,1,0,0
"Hot off the Press:

Just 1 in 20 of UK's deaths today were 'with Covid'.

Let's keep our perspective here, folks!

Please share. https://t.co/P8uhPNyaMa",0,1,0,1
LIVE in Toronto: Protestors chant “Healthy people don’t need masks” at the latest “March for Freedom” protest against COVID-19 restrictions. https://t.co/l9sWQBOOCX,0,1,0,1
